#{"t_start": 1790245951.9653053, "env_id": "LunarLander-v3"}
r,l,t
20.591776,83,3.90516
-106.194125,94,3.953901
-326.352072,79,3.991214
-80.161598,79,4.03179
-323.412261,111,4.088404
-250.760187,87,4.136867
-308.008042,98,4.193974
-124.773379,90,4.243083
-322.551557,85,4.284271
-147.506679,88,4.324999
-146.896679,69,4.354537
-88.483274,78,4.391244
-87.405454,59,4.420886
-102.260097,112,4.474481
-462.77736,115,4.527448
-61.457897,80,4.565995
-110.905942,65,4.598575
-225.261947,114,4.653676
-91.878084,124,4.713297
-229.196102,106,4.760586
-246.108379,66,4.801171
-111.753207,127,4.872249
-126.676511,72,5.818166
-159.648085,72,5.852703
-139.638736,91,5.900871
-160.638205,98,5.949829
-131.668536,139,6.021136
-91.488925,78,6.059968
-583.394019,106,6.113397
-108.004497,114,6.171762
-297.223402,79,6.211347
-223.442374,79,6.24892
-330.35935,97,6.290339
-83.02511,65,6.321958
-256.86539,120,6.379603
-227.554371,105,6.426692
-151.776842,73,6.46578
-98.045233,76,6.496308
-240.772204,102,6.548987
-65.968697,77,6.587614
-145.282402,119,6.644319
-67.375809,125,6.706183
-78.479768,60,6.731273
-199.624214,67,6.762824
-172.365199,79,7.784585
-146.853042,78,7.816125
-335.802792,73,7.85377
-144.705637,122,7.907028
-122.820481,78,7.942584
-129.397233,69,7.980187
-49.680574,78,8.016229
-100.590533,79,8.057805
-98.4219,85,8.102726
-122.069351,96,8.159018
-79.471864,69,8.214108
-210.639397,85,8.26723
-171.722842,96,8.315964
-299.844599,106,8.366692
-320.928509,102,8.421536
-178.141363,104,8.472619
-136.218093,69,8.509519
-149.575809,113,8.567783
-105.620199,80,8.613102
-32.318064,75,8.650606
-95.86692,65,8.681173
-139.469211,103,8.734618
-97.972126,79,8.771958
-431.709936,92,8.819891
-66.955506,63,9.721218
-121.019175,89,9.763522
-83.080057,85,9.803582
-146.853749,116,9.853276
-80.111097,99,9.893321
-221.554551,92,9.943841
-355.085244,111,9.991161
-160.761189,127,10.049079
-129.534002,93,10.088944
-239.152607,112,10.139526
-116.857824,95,10.181737
-168.613401,87,10.221045
-71.422653,67,10.250264
-120.313211,96,10.298651
-103.612398,90,10.347716
-74.066645,89,10.388184
-190.430452,104,10.439838
-103.895476,85,10.486347
-290.278293,124,10.553682
-102.116464,120,10.605865
-231.077538,112,10.659019
-609.401162,94,11.563977
-83.248976,82,11.61586
-102.718169,94,11.655856
-181.178714,95,11.707909
-235.133383,117,11.766091
-112.870448,127,11.827679
-128.947294,109,11.873631
-78.094146,117,11.934423
-119.904025,99,11.985718
-93.000559,82,12.024252
-111.101522,76,12.06487
-163.538017,105,12.113451
-112.501672,85,12.154535
-186.268472,95,12.203656
-74.246416,88,12.247772
-120.311348,62,12.278855
-105.024129,89,12.32311
-119.772427,92,12.37264
-65.557168,121,12.424322
-241.241479,80,12.465003
-80.645559,98,12.506162
-105.710169,65,12.539102
-75.505262,65,13.463031
-89.911037,151,13.542622
-115.389498,79,13.578727
-77.670004,99,13.641398
-94.273969,94,13.689488
-79.725794,111,13.74863
-205.335352,116,13.80888
-223.294404,123,13.877717
-82.682548,105,13.930047
-131.470796,108,13.982112
74.039168,1000,14.472861
-143.194461,84,15.342637
-175.604678,96,15.383748
-113.710795,105,15.441711
-83.74506,150,15.501287
-56.927979,106,15.554897
-153.753406,127,15.616015
-113.25419,131,15.6778
-25.604298,150,15.758253
-111.834671,69,15.798219
-68.187812,106,15.877856
-155.535962,108,15.980189
-63.937481,74,16.052572
-110.718424,90,16.118781
-137.343891,140,16.211896
-33.833469,133,16.324827
-144.355179,107,16.405022
-91.912408,66,16.445608
-243.578404,110,16.515791
50.882632,98,16.587101
-256.461836,132,17.536138
-87.865324,103,17.583724
-110.904375,141,17.656932
-64.200923,97,17.710106
-163.74737,127,17.775886
-288.353138,91,17.819532
-38.078986,78,17.853057
-216.943495,95,17.892108
-241.977457,129,17.947726
-114.75776,115,17.997844
21.789292,105,18.050055
-90.908557,95,18.090738
-34.19277,117,18.135795
-200.747735,100,18.174693
-94.934096,137,18.243805
-260.041769,109,18.292979
-139.695399,69,18.332594
-211.513119,157,18.410159
-84.227947,148,19.320565
-137.028471,148,19.387419
-140.172257,133,19.458536
-102.818296,111,19.520509
-58.197145,77,19.562864
-367.791351,152,19.642251
-42.212664,165,19.714937
-65.213508,98,19.757689
-219.852983,127,19.815701
-252.305038,140,19.880913
-238.062844,126,19.94205
-65.280157,120,19.993746
-186.034615,140,20.057749
-321.924727,140,20.121828
-221.212751,133,20.180421
-64.27675,102,20.229561
-87.210461,84,21.082602
-59.568896,120,21.151833
-35.242426,108,21.22441
-1.376759,91,21.274396
-262.001069,124,21.339663
-79.953694,99,21.395887
-85.641568,111,21.455642
-145.37622,86,21.502285
-62.528015,102,21.552541
-114.171033,111,21.600099
-71.232427,111,21.656796
-268.900652,122,21.724949
-83.503779,122,21.789156
-91.583088,109,21.843051
-30.143082,139,21.91372
-22.043881,70,21.949397
-121.129355,125,22.013905
-79.630007,71,22.049864
2.271215,83,22.092834
-23.344729,82,22.128885
-166.838554,99,23.125556
-115.196389,112,23.182789
-153.670755,101,23.238253
-71.467312,194,23.338361
-223.749181,121,23.394612
-11.87802,89,23.435599
-249.724977,122,23.49553
10.181799,108,23.546137
-47.019692,72,23.573701
-225.132981,137,23.640321
-71.945067,91,23.680386
-207.270541,116,23.732292
-245.4947,148,23.801059
-56.71349,126,23.861965
-105.328062,112,23.924673
-104.180197,95,23.980866
-138.10696,92,24.041611
-34.932493,99,24.086937
-79.639113,115,25.023459
-31.391164,157,25.118263
9.650308,123,25.183855
-89.969026,133,25.252143
-55.934973,116,25.304235
-89.228896,109,25.356801
21.74185,141,25.427806
-74.362459,110,25.480865
-109.999951,108,25.533443
-119.970894,128,25.588659
-162.157282,118,25.64405
-294.488064,159,25.720928
29.336199,123,25.780147
-28.512152,124,25.838756
-17.61288,126,25.901358
-19.738792,138,25.964416
-151.949486,133,26.894193
-40.468247,188,26.986671
-9.253208,100,27.04149
-190.835611,201,27.135517
-19.589952,92,27.180663
-127.708767,135,27.260443
12.029289,87,27.310579
-150.889698,112,27.369511
7.17044,143,27.438864
-31.164604,171,27.529439
-25.161293,123,27.591462
-47.870144,100,27.638813
-39.68091,114,27.698414
-69.18223,124,27.752988
-13.694648,141,27.819402
38.034802,163,28.816923
11.60629,188,28.907395
-42.220482,169,28.983448
-102.096758,173,29.055538
-24.070845,118,29.107116
-107.765773,175,29.171356
-14.129167,149,29.226428
-45.421572,160,29.286356
-75.649475,124,29.330597
-9.747216,155,29.386004
6.548828,119,29.428833
10.71343,146,29.484353
-42.125028,110,29.526637
-87.003992,123,29.582308
-39.827886,135,30.526862
-174.505007,135,30.588454
-50.090409,123,30.649544
-105.531007,177,30.739831
-187.047954,189,30.814677
-133.775083,228,30.903066
-167.883092,212,30.978544
-75.035542,227,31.063839
-18.100252,158,31.11869
-83.033009,186,31.187452
-191.003382,171,31.248338
-178.10088,113,31.295334
71.582727,1000,32.542147
29.630416,143,32.602367
-250.649539,167,32.67092
-156.491908,170,32.741543
-26.329844,170,32.809177
77.382148,1000,34.0244
3.090981,224,34.134333
-200.969134,214,34.242815
-171.077823,194,34.340991
-210.316974,229,34.445481
125.532051,1000,35.71325
-57.69518,199,35.809043
-108.849371,196,35.89639
-222.705515,237,36.005496
78.927269,1000,36.482702
60.24708,181,37.314662
33.020826,187,37.398825
-108.728796,247,37.515507
-49.815909,215,37.618197
-37.584942,154,37.685224
-35.92698,222,37.784035
-99.040541,212,37.883966
-178.351327,240,37.9962
-159.016075,217,38.096616
-24.632543,226,38.199573
-90.936348,272,39.091737
-191.778215,245,39.201583
-133.765534,250,39.307835
-176.717797,285,39.443511
-126.380042,268,39.565191
46.942228,1000,40.870583
-138.048051,227,40.975269
-55.804088,284,41.097715
-161.422874,282,41.231397
-212.130555,292,41.363843
33.599791,1000,42.61316
-210.031409,186,42.698431
-101.634228,205,42.784074
-146.139987,269,42.891662
-138.150668,285,43.026188
-49.433366,215,43.118652
-250.160406,345,43.273542
72.028585,1000,44.526911
-60.239327,221,44.625175
-16.949636,310,44.763841
-189.647716,244,44.880327
-46.657259,187,44.961101
-75.936901,277,45.080737
70.686581,1000,46.295354
-0.285358,281,46.436888
-72.556229,182,46.518154
47.785849,1000,47.744385
47.348213,1000,48.213562
84.130448,1000,49.445523
-7.956685,195,49.535015
