#{"t_start": 1790246131.521974, "env_id": "LunarLander-v3"}
r,l,t
-236.77711,102,0.054058
-170.980652,120,0.108133
-118.089835,121,0.171541
-141.531161,92,0.222149
-167.199018,91,0.275311
-258.501659,122,0.341017
-312.448539,97,0.380615
-129.36964,99,0.426834
-359.70856,88,0.476413
-201.286806,90,0.524716
-160.399907,93,0.563286
-299.224261,76,0.593693
-647.893918,103,0.643775
-188.872149,106,0.688331
-392.201002,100,0.731521
-253.224648,103,0.769674
-200.07138,85,0.80528
-130.215966,70,0.842402
-406.474456,91,0.878456
-428.267939,90,0.925616
-152.571929,139,1.768111
-216.071923,66,1.799644
-140.651342,64,1.831491
-458.057878,99,1.874925
-153.971449,98,1.929995
-129.062036,72,1.966531
-209.005902,114,2.023139
-126.630029,86,2.059015
-250.823301,110,2.10762
-128.337343,82,2.137509
-164.562603,160,2.210324
-111.039186,84,2.245353
-387.45398,98,2.290492
-155.690198,94,2.332073
-137.550883,86,2.365135
-72.921066,76,2.403244
-232.599241,107,2.444406
-427.197258,97,2.497752
-150.530689,95,2.546461
-63.311055,72,2.584014
-326.904767,109,2.630598
-143.126948,76,2.670779
-37.823747,106,3.479682
-100.974407,81,3.530459
-75.446911,78,3.567842
-101.920117,72,3.608511
-151.272029,121,3.669868
-225.060056,108,3.714543
-297.431462,139,3.770411
-159.781085,114,3.825057
-126.506045,112,3.873069
-184.966858,92,3.921215
-499.012811,111,3.965283
-418.254245,111,4.01755
-449.568514,90,4.056622
-215.684656,82,4.095411
-134.794387,134,4.146985
-514.136194,129,4.208972
-141.507452,113,4.26381
-364.774144,112,4.310292
-529.690034,129,4.36507
-137.319596,75,4.393593
-97.088868,68,5.274754
-129.154146,91,5.322825
-238.703326,100,5.371418
-132.115691,96,5.421517
-203.148357,134,5.480222
-201.229587,133,5.538968
-31.117382,120,5.602045
-95.20955,78,5.634598
-88.360518,76,5.676497
-322.169497,89,5.72423
-29.23753,89,5.77274
-184.376504,104,5.819611
-69.237611,136,5.899388
-146.984799,84,5.941999
-219.522069,106,5.989166
-129.396606,74,6.024706
-187.318989,124,6.081429
-223.072173,97,6.128553
-536.343793,133,6.189125
-106.379478,90,6.226181
-330.614073,113,7.11738
-332.55578,124,7.176969
-96.324588,76,7.209501
-153.807601,129,7.264555
-302.31603,126,7.318613
-265.48233,114,7.368459
-160.298518,118,7.414134
-72.363678,75,7.444798
-115.168222,91,7.480704
-205.516307,87,7.513229
-110.348854,95,7.554971
-62.409264,147,7.614081
-121.373341,76,7.646526
-211.686048,116,7.689371
-275.957606,93,7.726946
-210.878334,123,7.775507
-128.895107,82,7.807257
-202.454386,99,7.848018
-121.938184,139,7.914094
-86.644816,73,8.8322
-280.620918,165,8.917281
-115.926912,91,8.96701
-277.79427,113,9.019578
-277.487804,90,9.062407
-35.4172,87,9.098519
-203.485029,135,9.165085
-135.381139,121,9.22615
-109.650245,78,9.271289
-181.756748,120,9.328407
-252.418209,109,9.374969
-402.968193,157,9.448583
-185.536967,196,9.5382
-216.429041,104,9.58075
-55.234676,139,9.648836
-104.044134,153,9.708791
-392.758159,156,9.777766
-75.440577,74,10.646756
-102.972933,141,10.716401
-110.108172,96,10.767363
-83.229541,70,10.799906
-149.842189,90,10.840464
-204.882338,100,10.889165
-202.323615,118,10.936296
-216.538463,90,10.976385
-326.61103,181,11.05977
-311.189954,119,11.106258
-150.061659,146,11.174632
-145.213031,81,11.208721
-80.636562,71,11.240286
-100.481042,96,11.276333
-81.243874,172,11.356556
-93.441561,87,11.391833
-129.655938,89,11.437414
-126.40093,107,11.503911
-42.181196,146,12.44792
-293.815441,229,12.561571
-134.942264,119,12.624708
-163.591673,142,12.698068
-198.300176,175,12.78027
-109.332721,77,12.812776
-191.241272,183,12.897891
-144.037616,109,12.948018
-200.067223,153,13.016094
-155.423292,167,13.090241
-190.002248,175,13.174077
-65.134716,138,13.234555
-123.3446,88,13.27311
-89.833959,95,13.318678
-139.780929,120,13.366266
-445.686861,200,14.291249
-124.712812,164,14.371394
-108.0796,97,14.416449
-146.203019,144,14.48457
-124.975577,76,14.529969
-172.849462,100,14.574904
-90.077092,94,14.614457
-123.36373,100,14.661049
-107.627267,115,14.719737
-110.800559,156,14.78932
-130.683429,106,14.844431
-257.353936,119,14.904815
-126.588488,81,14.943889
-126.270649,117,15.000735
-71.8979,154,15.067311
-101.049636,89,15.112094
-47.569154,123,15.164952
-125.873621,120,16.071695
-254.22202,160,16.157306
-232.40375,139,16.225409
-314.862157,176,16.304966
-59.859318,109,16.357093
-222.798373,161,16.430539
-51.984016,97,16.472097
-265.033015,119,16.537351
-112.404411,134,16.592107
-88.869567,189,16.68055
-182.264262,113,16.743025
-75.131147,100,16.788757
-161.111017,122,16.842061
-82.906156,96,16.890717
-158.679107,121,16.949505
-185.127433,236,17.923116
-231.103974,161,17.994478
-103.072982,103,18.044679
-87.382822,171,18.1223
-139.429022,148,18.178422
-76.269267,104,18.229978
-138.004548,137,18.304107
-84.84455,137,18.354669
-19.964667,115,18.402866
-116.027011,217,18.488384
-67.828557,157,18.547439
